inconsistencies,messages_sent,time_for_experimentation
4,4,61.251000000000005
4,5,56.106
2,3,47.129000000000005
2,2,44.146
3,4,38.147
2,4,46.185
3,4,49.141999999999996
3,3,45.111999999999995
3,4,42.107
3,4,53.107
