inconsistencies,messages_sent,time_for_experimentation
41,132,1360.655
18,117,1338.989
0,105,1329.223
0,117,1381.3120000000001
0,124,1398.6129999999998
0,122,1346.4119999999998
189,120,1281.59
3,135,1407.616
5,141,1406.702
5,141,1364.011
