inconsistencies,messages_sent,time_for_experimentation
24,63,625.529
3,64,661.633
0,54,622.678
0,62,677.568
0,70,694.838
0,60,660.338
0,63,653.702
3,68,660.52
3,70,684.3779999999999
3,70,661.676
