inconsistencies,messages_sent,time_for_experimentation
154,257,2631.7070000000003
83,230,2653.6540000000005
45,246,2596.867
68,241,2568.518
65,243,2561.6099999999997
32,243,2671.781
28,247,2619.399
44,265,2604.8419999999996
133,265,2519.038
39,271,2615.896
