inconsistencies,messages_sent,time_for_experimentation
548,1009,12611.501
430,937,12730.25
409,938,14216.735
405,972,12963.488
331,951,12571.59
305,927,11670.726999999999
323,956,11525.119
175,994,11398.84
261,1001,11788.391
260,1002,12377.170999999998
