inconsistencies,messages_sent,time_for_experimentation
24,31,327.769
18,34,327.954
15,31,297.77299999999997
14,32,302.98
20,41,322.86400000000003
11,31,296.858
13,31,322.736
12,30,289.918
13,31,309.822
17,31,302.738
23,31,309.738
13,34,332.683
16,31,323.858
