inconsistencies,messages_sent,time_for_experimentation
205,500,5354.892
170,479,5317.541
99,489,5149.660000000001
100,498,5276.944
102,490,5324.939
93,470,5053.609
93,487,5237.259
57,498,5181.498
53,521,5158.679999999999
53,514,5029.761
