inconsistencies,messages_sent,time_for_experimentation
296,500,5041.323
229,479,5004.897
176,489,5127.508
150,498,5073.492
133,490,5067.217000000001
130,470,5072.512000000001
714,410,4313.138
181,480,4794.302
80,521,5080.275
229,484,4804.956999999999
